epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,38.2403,1.53207,1.55706,0.88767,0.74095,0.125,0.2575,0.14644,1.97029,3.20871,0.88472,0.000413643,0.000413643,0.000413643
44,39.0605,1.15943,0.76258,0.91982,0.41947,0.32575,0.25916,0.14698,1.90143,3.15527,0.88348,0.000416201,0.000416201,0.000416201
45,39.8868,1.65015,1.00717,0.94933,0.41947,0.32575,0.25916,0.14698,1.90143,3.15527,0.88348,0.000418429,0.000418429,0.000418429
46,40.7447,1.74596,1.04865,0.9439,0.38782,0.25,0.25444,0.14371,1.93306,3.20456,0.88462,0.000420328,0.000420328,0.000420328
47,41.5281,1.5973,1.38837,0.93593,0.38782,0.25,0.25444,0.14371,1.93306,3.20456,0.88462,0.000421896,0.000421896,0.000421896
48,42.374,1.90139,3.85143,0.91698,0.43526,0.30559,0.26472,0.13597,2.02497,3.24205,0.89819,0.000423135,0.000423135,0.000423135
49,43.1572,2.06211,1.42774,0.86085,0.43526,0.30559,0.26472,0.13597,2.02497,3.24205,0.89819,0.000424044,0.000424044,0.000424044
50,43.9832,1.30891,0.80001,0.88937,0.44024,0.32631,0.23984,0.09185,2.08576,3.23264,0.90491,0.000424623,0.000424623,0.000424623
51,44.8081,1.55297,1.32273,0.91305,0.44024,0.32631,0.23984,0.09185,2.08576,3.23264,0.90491,0.000420665,0.000420665,0.000420665
52,45.6204,1.75709,1.38052,0.88588,0.47927,0.22928,0.25058,0.08391,2.10025,3.30001,0.91634,0.000412418,0.000412418,0.000412418
53,46.445,1.25942,0.77606,0.89608,0.47927,0.22928,0.25058,0.08391,2.10025,3.30001,0.91634,0.000404172,0.000404172,0.000404172
54,47.2765,0.64485,2.6756,0.46112,0.40977,0.34984,0.23005,0.07277,2.24038,3.39105,0.91886,0.000395925,0.000395925,0.000395925
